id,vendas_semanais
276064,4580.628
276065,17184.75
276066,166564.79767189175
276067,129950.104
276068,193417.0217071424
276069,32216.22
276070,695.824
276071,3751.946
276072,1186.762
276073,198639.1395686178
276074,49705.88
276075,223732.3514984535
276076,2873.466
276077,3287.65
276078,11998.738000000001
276079,1137.474
276080,343601.27473226853
276081,2017.3939999999998
276082,64031.979999999996
276083,27035.897999999997
276084,7132.388000000001
276085,43121.234
276086,6124.936
276087,59117.255999999994
276088,5277.21
276089,216.344
276090,7843.194
276091,9258.658
276092,68222.168
276093,60.82333333333333
276094,31225.74
276095,33808.484
276096,50681.721999999994
276097,5836.754
276098,219101.6900901535
276099,169008.5476075997
276100,67.39
276101,3417.888
276102,189247.48926265218
276103,647.4399999999999
276104,7463.610000000001
276105,11609.448
276106,159077.24950078814
276107,58333.498
276108,28.0
276109,2909.6279999999997
276110,3599.7940000000003
276111,237913.1383998643
276112,201207.74616148055
276113,61673.656
276114,1876.25
276115,42364.998
276116,397623.7414413548
276117,3275.352
276118,6560.024
276119,5096.596
276120,12256.5
276121,199524.4770868961
276122,4093.63
276123,8172.801999999999
276124,17696.3
276125,16821.686
276126,50.0
276127,177687.35574661812
276128,160342.5821073067
276129,19776.808
276130,7109.51
276131,2585.7619999999997
276132,2165.584
276133,6.25
276134,27049.602000000003
276135,186226.79809261914
276136,13440.653999999999
276137,17271.258
276138,1638.6580000000001
276139,21368.162
276140,16749.684
276141,172038.74955576315
276142,14.593333333333334
276143,33723.922000000006
276144,55722.41333756792
276145,1832.556
276146,20911.144
276147,12920.967999999999
276148,27.512
276149,29364.748
276150,4991.014
276151,11626.854000000001
276152,152397.724
276153,335083.18521154823
276154,168180.5292900806
276155,8859.384
276156,8393.532000000001
276157,450.66
276158,151811.3668945878
276159,188199.8449860807
276160,209053.31170702833
276161,2311.536
276162,20715.134
276163,12984.208
276164,194314.91800876203
276165,1672.432
276166,2692.534
276167,214739.73776306858
276168,189415.6068061956
276169,8297.073999999999
276170,7872.096
276171,3.78
276172,58113.966
276173,2628.0739999999996
276174,368760.5655755006
276175,8896.198
276176,218.1
276177,9081.36
276178,5396.098
276179,185730.00901527755
276180,14012.62
276181,519.6
276182,6122.372
276183,3549.5
276184,54435.03199999999
276185,14.0625
276186,66703.50200000001
276187,16117.291999999998
276188,1092.6399999999999
276189,53161.244000000006
276190,630.0
276191,25943.14
276192,2746.376
276193,51344.456
276194,4971.314
276195,7278.8460000000005
276196,3533.458
276197,84050.042
276198,9518.954000000002
276199,169442.96956184966
276200,50.0
276201,184743.22398313432
276202,531.3979999999999
276203,8540.13
276204,44.648
276205,1409.0459999999998
276206,165586.91020185698
276207,37428.988
276208,4587.714
276209,200878.34829374086
276210,521.538
276211,4465.494000000001
276212,159926.40837001277
276213,346864.2815468071
276214,11956.898
276215,11492.58
276216,11454.86
276217,6863.17
276218,332.69
276219,221642.88844023403
276220,6387.834
276221,13905.579999999998
276222,2624.514
276223,180373.16065283175
276224,183504.40512465689
276225,7852.432000000001
276226,59.839999999999996
276227,306945.676834028
276228,9908.880000000001
276229,5576.334
276230,19715.356
276231,1414.468
276232,179.73600000000002
276233,8600.86
276234,157751.90981733095
276235,8790.5
276236,1252.322
276237,4376.396
276238,7154.944
276239,18.22
276240,169886.23820850792
276241,164859.05955730082
276242,200509.20680432
276243,190311.08037674424
276244,14742.586
276245,3387.218
276246,43870.638
276247,1000.6600000000001
276248,3343.6099999999997
276249,5424.028
276250,130.044
276251,15445.435999999998
276252,2432.13
276253,157069.194957991
276254,14175.797999999999
276255,1005.6879999999999
276256,53226.536
276257,810.0
276258,14518.073999999999
276259,29686.678000000004
276260,187157.4233566988
276261,50.0
276262,7013.125999999999
276263,6723.264
276264,517.388
276265,210105.9025589759
276266,5607.946
276267,7353.588000000001
276268,163914.0825528215
276269,15302.984
276270,13852.217999999999
276271,295.184
276272,34238.71
276273,61091.31999999999
276274,12427.37
276275,6844.374000000001
276276,3072.564
276277,15178.709999999997
276278,12698.414
276279,6252.196
276280,152022.65838586967
276281,12209.274
276282,3099.0
276283,2873.6059999999998
276284,2881.774
276285,68.09400000000001
276286,90741.962
276287,11.773333333333333
276288,23239.626
276289,2462.014
276290,809.6
276291,9232.261999999999
276292,3661.9300000000003
276293,160363.3225312453
276294,957.566
276295,40880.115999999995
276296,5646.63
276297,5138.65
276298,659.156
276299,207114.1678953065
276300,51594.022000000004
276301,2100.022
276302,196.356
276303,11697.248000000001
276304,4520.1
276305,168564.21121021378
276306,9349.617999999999
276307,16.955000000000002
276308,52001.188
276309,395.77200000000005
276310,202910.96242200345
276311,15431.666000000001
276312,6619.848
276313,5177.366
276314,209689.66596712888
276315,113.32199999999997
276316,193833.3930038643
276317,49663.534
276318,4968.618
276319,85.80999999999999
276320,5542.724
276321,55722.41333756792
276322,55722.41333756792
276323,184154.98844325947
276324,162420.78133497757
276325,14901.117999999999
276326,7772.517999999999
276327,197858.54856033897
276328,572.0200000000001
276329,14396.539999999999
276330,1416.156
276331,7645.134
276332,22881.316
276333,5997.339999999999
276334,346.71999999999997
276335,180200.96859893156
276336,553.04
276337,16412.522
276338,5201.976
276339,25.0
276340,1529.7
276341,2270.0919999999996
276342,7913.697999999999
276343,1032.2
276344,20061.046
276345,57.888
276346,4383.55
276347,40342.974
276348,16188.09
276349,3575.014
276350,223697.90097516688
276351,48420.306
276352,35458.142
276353,24.258000000000003
276354,18064.394
276355,19029.512
276356,950.5619999999999
276357,315427.97287938
276358,4623.162
276359,199380.38223887826
276360,196029.57990496623
276361,3246.91
276362,625.376
276363,182823.61375555303
276364,19433.21
276365,5898.89
276366,97.916
276367,2361.784
276368,6762.803999999999
276369,11978.61
276370,8826.644
276371,6965.416
276372,23639.282
276373,189908.43437369572
276374,12145.851999999999
276375,100.0
276376,582.972
276377,15010.264000000001
276378,5179.96
276379,7079.902
276380,196586.24914757672
276381,30500.164
276382,188918.81874574756
276383,8545.423999999999
276384,22798.670000000002
276385,23919.796
276386,1617.816
276387,97153.972
276388,3897.1639999999998
276389,350.698
276390,5.5075
276391,4307.668
276392,20044.404
276393,57285.914000000004
276394,20472.716
276395,42329.32
276396,1119.738
276397,163817.97476023177
276398,1094.8
276399,70240.644
276400,38053.572
276401,5120.052
276402,12781.586
276403,17663.52
276404,330.416
276405,196868.69727502944
276406,171363.33718076808
276407,7352.902
276408,55722.41333756792
276409,192131.56588297168
276410,177316.93419785053
276411,5076.192
276412,10362.18
276413,41825.198
276414,43300.068
276415,121.44000000000001
276416,6412.610000000001
276417,12844.336
276418,1132.9
276419,365341.06444493786
276420,24430.834000000003
276421,5882.588000000001
276422,765.654
276423,9615.954000000002
276424,885.808
276425,155655.17344494065
276426,5506.838000000001
276427,11109.2
276428,193035.2329743424
276429,22348.334
276430,2898.936
276431,62187.833999999995
276432,159112.0647824686
276433,1275.202
276434,204479.72086506028
276435,34372.064
276436,15396.846
276437,81410.862
276438,190136.61720126297
276439,13380.158000000001
276440,190296.60019145272
276441,10084.416000000001
276442,1169.41
276443,186643.40567995043
276444,50092.268
276445,1419.358
276446,197924.72559175786
276447,3942.6160000000004
276448,173949.13073481555
276449,166979.9731131938
276450,188809.2938434226
276451,157640.72348209438
276452,723.1940000000001
276453,36615.106
276454,30813.258
276455,54665.14599999999
276456,58664.55
276457,87.3
276458,16887.186
276459,74119.416
276460,5451.839999999999
276461,2183.464
276462,3925.536
276463,298124.95483712095
276464,46758.922
276465,7487.31
276466,4566.816000000001
276467,202461.58369676457
276468,11019.844000000001
276469,4992.14
276470,177351.7075438207
276471,1047.2
276472,9645.130000000001
276473,34924.426
276474,12200.164
276475,11010.064000000002
276476,169.632
276477,6092.136
276478,11345.03
276479,3465.2
276480,1782.9919999999997
276481,3140.0860000000002
276482,165570.75834276297
276483,1941.548
276484,8320.094000000001
276485,81.994
276486,5685.0599999999995
276487,4720.948
276488,13217.874
276489,400.68
276490,9882.996
276491,5322.933999999999
276492,3914.63
276493,196989.10279489233
276494,55722.41333756792
276495,7188.914
276496,352574.093273588
276497,55722.41333756792
276498,46913.504
276499,181236.96045735822
276500,15875.097999999998
276501,55722.41333756792
276502,830.876
276503,43659.106
276504,3475.85
276505,163735.1926527847
276506,8104.608
276507,4261.280000000001
276508,158173.6472801177
276509,3591.424
276510,183767.9535869803
276511,12005.880000000001
276512,197932.03465173728
276513,52.894000000000005
276514,3502.2760000000003
276515,156408.52606699077
276516,167741.2668957063
276517,8521.833999999999
276518,34739.014
276519,3076.424
276520,951.6220000000001
276521,45.848
276522,21236.466
276523,61227.156
276524,364737.1290146468
276525,36766.474
276526,41056.64
276527,3478.2700000000004
276528,173439.62953377332
276529,206809.10310996693
276530,36567.432
276531,9437.716
276532,1664.6619999999998
276533,1695.9279999999999
276534,168065.6809372459
276535,193459.23019992647
276536,694.992
276537,11686.102
276538,1349.238
276539,28265.79
276540,199926.90804468328
276541,7489.314
276542,235.84
276543,292379.33065916586
276544,159004.04180645285
276545,167348.3122534753
276546,43630.328
276547,1157.942
276548,162140.98038455413
276549,36448.194
276550,14376.662
276551,12702.186
276552,212014.2720839812
276553,1489.7620000000002
276554,2854.748
276555,8803.306
276556,41889.424
276557,4638.0
276558,21293.894
276559,26777.27
276560,16127.170000000002
276561,24378.286
276562,1520.262
276563,7586.020000000001
276564,14772.6
276565,20191.616
276566,1126.9299999999998
276567,3701.4139999999998
276568,12615.592
276569,5818.9
276570,196357.88260534758
276571,221217.13293100527
276572,17294.02
276573,10771.223999999998
276574,55722.41333756792
276575,9106.668
276576,1850.0819999999999
276577,9600.51
276578,11402.912
276579,385.688
276580,4431.74
276581,103217.716
276582,74809.75200000001
276583,63.791999999999994
276584,209.128
276585,4376.866
276586,2592.298
276587,12748.024000000001
276588,31768.329999999998
276589,179483.29691653088
276590,3.8466666666666662
276591,5438.626
276592,34635.292
276593,183009.72748387177
276594,6809.416
276595,16384.257999999998
276596,45761.438
276597,2325.082
276598,9523.736
276599,16902.15
276600,5312.822
276601,13178.519999999999
276602,21297.904000000002
276603,3963.368
276604,1701.4360000000001
276605,191726.59012296508
276606,26828.811999999998
276607,20589.282
276608,22584.546
276609,2714.218
276610,2522.576
276611,31227.138
276612,12504.97
276613,164024.738561621
276614,28181.066000000003
276615,7356.639999999999
276616,8819.198
276617,16853.85
276618,187447.7881284205
276619,10089.804
276620,3484.262
276621,6603.389999999999
276622,32925.54
276623,149655.334
276624,153950.7056995753
276625,943.9
276626,7595.472
